Duration (ms),Status Code,Response Body,Timestamp
115,201,Lift ride recorded for skier 31146,10/03/2024 21:11:22
119,201,Lift ride recorded for skier 39526,10/03/2024 21:11:22
112,201,Lift ride recorded for skier 79329,10/03/2024 21:11:22
104,201,Lift ride recorded for skier 49805,10/03/2024 21:11:22
103,201,Lift ride recorded for skier 99962,10/03/2024 21:11:22
122,201,Lift ride recorded for skier 69237,10/03/2024 21:11:22
94,201,Lift ride recorded for skier 70154,10/03/2024 21:11:22
105,201,Lift ride recorded for skier 31674,10/03/2024 21:11:22
119,201,Lift ride recorded for skier 97443,10/03/2024 21:11:22
119,201,Lift ride recorded for skier 93811,10/03/2024 21:11:22
113,201,Lift ride recorded for skier 69886,10/03/2024 21:11:22
96,201,Lift ride recorded for skier 71171,10/03/2024 21:11:22
119,201,Lift ride recorded for skier 84063,10/03/2024 21:11:22
97,201,Lift ride recorded for skier 64196,10/03/2024 21:11:22
119,201,Lift ride recorded for skier 25978,10/03/2024 21:11:22
136,201,Lift ride recorded for skier 93241,10/03/2024 21:11:22
122,201,Lift ride recorded for skier 5750,10/03/2024 21:11:22
134,201,Lift ride recorded for skier 19080,10/03/2024 21:11:22
123,201,Lift ride recorded for skier 88793,10/03/2024 21:11:22
109,201,Lift ride recorded for skier 53354,10/03/2024 21:11:22
134,201,Lift ride recorded for skier 3154,10/03/2024 21:11:22
140,201,Lift ride recorded for skier 91872,10/03/2024 21:11:22
123,201,Lift ride recorded for skier 94542,10/03/2024 21:11:22
140,201,Lift ride recorded for skier 65485,10/03/2024 21:11:22
139,201,Lift ride recorded for skier 24455,10/03/2024 21:11:22
141,201,Lift ride recorded for skier 6678,10/03/2024 21:11:22
140,201,Lift ride recorded for skier 35226,10/03/2024 21:11:22
122,201,Lift ride recorded for skier 74724,10/03/2024 21:11:22
111,201,Lift ride recorded for skier 75843,10/03/2024 21:11:22
109,201,Lift ride recorded for skier 23193,10/03/2024 21:11:22
102,201,Lift ride recorded for skier 59833,10/03/2024 21:11:22
115,201,Lift ride recorded for skier 47852,10/03/2024 21:11:22
118,201,Lift ride recorded for skier 82463,10/03/2024 21:11:22
130,201,Lift ride recorded for skier 72435,10/03/2024 21:11:22
118,201,Lift ride recorded for skier 87912,10/03/2024 21:11:22
120,201,Lift ride recorded for skier 22191,10/03/2024 21:11:22
105,201,Lift ride recorded for skier 86068,10/03/2024 21:11:22
104,201,Lift ride recorded for skier 71396,10/03/2024 21:11:22
106,201,Lift ride recorded for skier 518,10/03/2024 21:11:22
126,201,Lift ride recorded for skier 37207,10/03/2024 21:11:22
123,201,Lift ride recorded for skier 81218,10/03/2024 21:11:22
137,201,Lift ride recorded for skier 22370,10/03/2024 21:11:22
108,201,Lift ride recorded for skier 80114,10/03/2024 21:11:22
110,201,Lift ride recorded for skier 58795,10/03/2024 21:11:22
111,201,Lift ride recorded for skier 36520,10/03/2024 21:11:22
112,201,Lift ride recorded for skier 64461,10/03/2024 21:11:22
109,201,Lift ride recorded for skier 54483,10/03/2024 21:11:22
99,201,Lift ride recorded for skier 47708,10/03/2024 21:11:22
112,201,Lift ride recorded for skier 92952,10/03/2024 21:11:22
114,201,Lift ride recorded for skier 42611,10/03/2024 21:11:22
115,201,Lift ride recorded for skier 54562,10/03/2024 21:11:22
120,201,Lift ride recorded for skier 36769,10/03/2024 21:11:22
117,201,Lift ride recorded for skier 77974,10/03/2024 21:11:22
120,201,Lift ride recorded for skier 63564,10/03/2024 21:11:22
120,201,Lift ride recorded for skier 52842,10/03/2024 21:11:22
119,201,Lift ride recorded for skier 85537,10/03/2024 21:11:22
119,201,Lift ride recorded for skier 29129,10/03/2024 21:11:22
122,201,Lift ride recorded for skier 45611,10/03/2024 21:11:22
139,201,Lift ride recorded for skier 51906,10/03/2024 21:11:22
141,201,Lift ride recorded for skier 9773,10/03/2024 21:11:22
81,201,Lift ride recorded for skier 5798,10/03/2024 21:11:22
143,201,Lift ride recorded for skier 9463,10/03/2024 21:11:22
144,201,Lift ride recorded for skier 86163,10/03/2024 21:11:22
93,201,Lift ride recorded for skier 33605,10/03/2024 21:11:22
91,201,Lift ride recorded for skier 88607,10/03/2024 21:11:22
98,201,Lift ride recorded for skier 24269,10/03/2024 21:11:22
91,201,Lift ride recorded for skier 29065,10/03/2024 21:11:22
93,201,Lift ride recorded for skier 85605,10/03/2024 21:11:22
94,201,Lift ride recorded for skier 52696,10/03/2024 21:11:22
99,201,Lift ride recorded for skier 29319,10/03/2024 21:11:22
110,201,Lift ride recorded for skier 61388,10/03/2024 21:11:22
112,201,Lift ride recorded for skier 23932,10/03/2024 21:11:22
118,201,Lift ride recorded for skier 31671,10/03/2024 21:11:22
116,201,Lift ride recorded for skier 42253,10/03/2024 21:11:22
114,201,Lift ride recorded for skier 60435,10/03/2024 21:11:22
110,201,Lift ride recorded for skier 36665,10/03/2024 21:11:22
126,201,Lift ride recorded for skier 29094,10/03/2024 21:11:22
123,201,Lift ride recorded for skier 82715,10/03/2024 21:11:22
106,201,Lift ride recorded for skier 35172,10/03/2024 21:11:22
101,201,Lift ride recorded for skier 32502,10/03/2024 21:11:22
101,201,Lift ride recorded for skier 36825,10/03/2024 21:11:22
119,201,Lift ride recorded for skier 50693,10/03/2024 21:11:22
92,201,Lift ride recorded for skier 5631,10/03/2024 21:11:22
117,201,Lift ride recorded for skier 13575,10/03/2024 21:11:22
123,201,Lift ride recorded for skier 75851,10/03/2024 21:11:22
121,201,Lift ride recorded for skier 25882,10/03/2024 21:11:22
117,201,Lift ride recorded for skier 10124,10/03/2024 21:11:22
116,201,Lift ride recorded for skier 77789,10/03/2024 21:11:22
119,201,Lift ride recorded for skier 88808,10/03/2024 21:11:22
88,201,Lift ride recorded for skier 35293,10/03/2024 21:11:22
127,201,Lift ride recorded for skier 24065,10/03/2024 21:11:22
97,201,Lift ride recorded for skier 77110,10/03/2024 21:11:22
98,201,Lift ride recorded for skier 11449,10/03/2024 21:11:22
103,201,Lift ride recorded for skier 60825,10/03/2024 21:11:22
102,201,Lift ride recorded for skier 44789,10/03/2024 21:11:22
124,201,Lift ride recorded for skier 92365,10/03/2024 21:11:22
97,201,Lift ride recorded for skier 47758,10/03/2024 21:11:22
100,201,Lift ride recorded for skier 19617,10/03/2024 21:11:22
111,201,Lift ride recorded for skier 34479,10/03/2024 21:11:22
102,201,Lift ride recorded for skier 33515,10/03/2024 21:11:22
120,201,Lift ride recorded for skier 27576,10/03/2024 21:11:22
141,201,Lift ride recorded for skier 73067,10/03/2024 21:11:22
146,201,Lift ride recorded for skier 38202,10/03/2024 21:11:22
153,201,Lift ride recorded for skier 25014,10/03/2024 21:11:22
271,201,Lift ride recorded for skier 25786,10/03/2024 21:11:22
274,201,Lift ride recorded for skier 71850,10/03/2024 21:11:22
254,201,Lift ride recorded for skier 88658,10/03/2024 21:11:22
258,201,Lift ride recorded for skier 88061,10/03/2024 21:11:22
